pair_id,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P001,无冲突,同法内一般与例外,并存,lex_specialis,N4
P002,场景依赖,路径竞合,并存,lex_specialis,N8；GBA标准合同属第8条标准合同路径的区域化实施；若被告知或公布为重要数据则GBA不适用
P003,无冲突,跨法域义务累积,并存,none,N1
P004,稳定冲突,强制安全评估与区域豁免的制度衔接冲突,并存（暂按累积）,none,N8；本表唯一真冲突，须出书面口径
P005,无冲突,援引性条款,并存,none,GBA第4条援引属地法，指向PIPL第39条，非独立冲突源
P006,无冲突,跨法域义务累积,并存,none,N1
P007,无冲突,跨法域义务累积,并存,none,N1
P008,无冲突,跨法域义务累积,并存,none,N1
P009,无冲突,一般路径与区域实施,并存,lex_specialis,GBA机制系PIPL第38条第(三)项在大湾区的具体化
P010,无冲突,未生效条文,并存,none,N3；N1
P011,无冲突,跨法域义务累积,并存,none,N1
P012,场景依赖,适用条件互斥,依事实定,lex_specialis,N5；含敏感个人信息时第5条自始不适用
P013,无冲突,效力位阶不对等,并存,none,N2；N1
P014,无冲突,效力位阶不对等,并存,none,N2；AI标注lex_superior不当
P015,无冲突,效力位阶不对等,并存,none,N2；N1
P016,无冲突,跨法域义务累积,并存,none,N1
P017,无冲突,跨法域义务累积,并存,none,N1
P018,无冲突,效力位阶不对等,并存,none,N2；N1
P019,无冲突,效力位阶不对等,并存,none,N2
P020,无冲突,同法内条文分工,并存,none,N4
P021,无冲突,效力位阶不对等,并存,none,N2；N1
P022,无冲突,跨法域义务累积,并存,none,N1；N7
P023,无冲突,程序并行,并存,none,N10
P024,场景依赖,法定强制与区域便利,若属CIIO或达量则右压制左,lex_superior,N8；须先认定主体是否CIIO
P025,无冲突,未生效条文,并存,none,N3
P026,无冲突,程序并行,并存,none,N6
P027,无冲突,效力位阶不对等,并存,none,N2；N1
P028,无冲突,跨法域义务累积,并存,none,N1
P029,无冲突,跨法域义务累积,并存,none,N1
P030,无冲突,同法内条文分工,并存,none,N4
P031,无冲突,效力位阶不对等,并存,none,N2；N1
P032,场景依赖,分层适用,依事实定,lex_specialis,N5；按累计人数与敏感属性分层，非竞合
P033,无冲突,跨法域义务累积,并存,none,N1
P034,无冲突,同法内一般与例外,并存,lex_specialis,N4
P035,无冲突,效力位阶不对等,并存,none,N2；N1
P036,无冲突,效力位阶不对等,并存,none,N2；N1
P037,无冲突,程序并行,并存,none,N6；备案与订约互不替代
P038,无冲突,跨法域义务累积,并存,none,N1；N7
P039,无冲突,未生效条文,并存,none,N3
P040,无冲突,效力位阶不对等,并存,none,N2
P041,无冲突,构成要件关系,并存,none,N9；第28条界定敏感性，决定第5条豁免条件是否成就
P042,无冲突,跨法域义务累积,并存,none,N1
P043,无冲突,效力位阶不对等,并存,none,N2；N1
P044,无冲突,跨法域义务累积,并存,none,N1；N7
P045,无冲突,效力位阶不对等,并存,none,N2
P046,无冲突,效力位阶不对等,并存,none,N2；N1
P047,无冲突,跨法域义务累积,并存,none,N1
P048,无冲突,效力位阶不对等,并存,none,N2；N1
P049,无冲突,效力位阶不对等,并存,none,N2；N1
P050,无冲突,效力位阶不对等,并存,none,N2；N1
P051,无冲突,效力位阶不对等,并存,none,N2
P052,无冲突,上位法与实施细化,并存,lex_specialis,第7条系PIPL第40条"网信部门规定数量"的具体化，同一义务双重基础
P053,无冲突,效力位阶不对等,并存,none,N2；N1
P054,无冲突,效力位阶不对等,并存,none,N2；N1
P055,无冲突,跨法域义务累积,并存,none,N1
P056,无冲突,效力位阶不对等,并存,none,N2；N7
P057,无冲突,效力位阶不对等,并存,none,N2；N3
P058,无冲突,效力位阶不对等,并存,none,N2；N7
P059,无冲突,效力位阶不对等,并存,none,N2；N1
