pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P001,CN_PIPL_Art39_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,170,CN->MO:170,并存（按孰严执行）:170,并行义务:170,contextual:161; none:9,GBAMC-DRAFT-0600,内地要求单独同意，澳门要求明确同意作为转移例外，两者并行不排斥，需同时满足。,,,,,
P002,MO_PDPA_Art19_001,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系; AI裁决不一致,,133,MO->CN:129; CN->MO:4,并存（按孰严执行）:127; 无冲突:3; 右压制左:2; 排除右:1,一般与例外:133,lex_specialis:133,GBAMC-DRAFT-0618,第19条为澳门向境外转移的一般原则，第20条为明确同意等例外情形，属同一法域内一般与例外关系，可并行适用，不构成真冲突。,,,,,
P003,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关; AI裁决不一致,gba_quantitative_exemption_disputed:124; cross_jurisdiction_exclusion_relation:11,124,CN->MO:124,待定（口径未明）:113; 右压制左:11,一般与例外:124,lex_specialis:109; contextual:13; lex_superior:2,GBAMC-DRAFT-0602,敏感个人信息超1万人应申报安全评估；GBA指引对数量限制有豁免争议，官方未明文衔接。按团队立场暂按并存，两条路径均需评估，不单方压制。,,,,,
P004,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:113,113,CN->MO:113,待定（口径未明）:113,一般与例外:110; 并行义务:3,lex_specialis:105; contextual:8,GBAMC-DRAFT-0600,GBA指引对标准合同数量限制作豁免，与第8条门槛存在口径分歧；官方未明文衔接，暂按并存，两条路径均可作为出境合规基础，但均不免除PIPL第39条单独同意。,,,,,
P005,CN_GBA_MO_GUIDE_Art4,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:5,98,CN->MO:98,并存（按孰严执行）:93; 右压制左:5,义务与许可:59; 并行义务:38; 强制与可选:1,contextual:95; none:2; lex_specialis:1,GBAMC-DRAFT-0600,GBA指引要求告知同意且不得再转移至大湾区外；澳门PDPA要求接收地有适当保护水平或个案许可。两者并行，须同时满足。,,,,,
P006,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:23,83,CN->MO:83,并存（按孰严执行）:60; 右压制左:21; 左压制右:2,义务与许可:58; 一般与例外:12; 并行义务:9; 强制与可选:4,contextual:81; none:1; lex_specialis:1,GBAMC-DRAFT-0601,内地GBA便利化安排不替代澳门PDPA第19条适当性认定前置；澳门主管机关未认定时，须逐案许可或适用第20条例外。,,,,,
P007,CN_GBA_HK_GUIDE_Art4,EU_GVP_MODULE_VI_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,EU GVP Module VI,规范性文件（实施指引）,欧盟法规（域外）,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:74,81,CN->HK:81,右压制左:74; 并存（按孰严执行）:7,许可与禁止:81,contextual:81,GBAMC-DRAFT-0243,GBA禁向大湾区外再转移，与全球药物警戒15日报告义务排斥。消解：经主管机关批准或去标识化后向EudraVigilance报告，或境内查阅不导出。,,,,,
P008,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:68,68,CN->HK:68,待定（口径未明）:68,一般与例外:68,lex_specialis:60; contextual:8,GBAMC-DRAFT-0243,敏感信息超1万人应安全评估；GBA指引对数量限制有豁免争议，官方未明文衔接，暂按并存，须同时说明两种口径。,,,,,
P009,CN_GBA_MO_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,68,CN->MO:68,并存（按孰严执行）:68,并行义务:68,lex_specialis:65; contextual:2; none:1,GBAMC-DRAFT-0601,GBA第4条告知同意不得低于PIPL第39条单独同意标准，两者并行不排斥，应同时满足。,,,,,
P010,CN_GBA_HK_GUIDE_Art4,FDA_21CFR314_80_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,FDA 21 CFR 314.80,规范性文件（实施指引）,美国联邦法规（域外）,跨法域; GBA指引相关; AI裁决不一致,cross_jurisdiction_exclusion_relation:59,65,CN->HK:65,右压制左:59; 并存（按孰严执行）:6,许可与禁止:65,contextual:65,GBAMC-DRAFT-0243,GBA禁转条款与FDA严重非预期不良反应15日报告义务冲突。消解：经批准或去标识化后向FDA报告，或数据分流、境内查阅不导出。,,,,,
