query_id,场景,数据属性,流向,操作类型,系统给出的结论,法律有效性(1-5),业务效用(1-5),是否过度保守(是/否),遗漏的关键规范(可留空),修改建议(可留空)
GBAMC-DRAFT-0343,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息。累计54806人，未达10万一般个人信息豁免门槛，且涉敏感个人信息，第5条豁免不适用。主体非CIIO，但敏感个人信息超1万人，应申报安全评估；同时须履行PIPL第39条单独同意、人类遗传资源备案备份，并可并行适用GBA标准合同备案。,,,,,
GBAMC-DRAFT-0317,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息，累计81940人。内地出境路径、GBA标准合同指引、人类遗传资源备案与香港PDPO并行适用；GBA禁转条款与全球药物警戒报告义务存在真冲突，需以去标识化、境内查阅或主管机关批准路径消解。,,,,,
GBAMC-DRAFT-0286,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。主体为CIIO且累计规模超阈值，须走安全评估路径，GBA标准合同不豁免第40条义务；同时须履行PIPL第39条单独同意及GBA备案、影响评估。香港PDPO与内地规则多为并行义务，但GBA禁转条款与全球药物警戒报告义务存在真冲突。,,,,,
GBAMC-DRAFT-0241,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、内分泌、检验、用药及不良事件报告，属敏感个人信息。累计12649人，未达1万人敏感信息门槛？实为超过1万，应走安全评估；但GBA标准合同对数量限制有豁免争议，暂按并存。同时触发PIPL第39条单独同意、GBA备案、香港PDPO同意及保安要求。人类遗传资源未涉及。,,,,,
GBAMC-DRAFT-0297,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息，累计20295人。内地出境路径、GBA标准合同、人类遗传资源备案与香港PDPO并行适用；GBA数量豁免与出境门槛存在待统一分歧，按并存处理。,,,,,
GBAMC-DRAFT-0354,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、孕产、检验、用药及不良事件报告，属敏感个人信息出境。累计71423人，未达10万一般个人信息豁免门槛，且涉敏感信息，第5条豁免不适用；未满1万人敏感个人信息，应走标准合同或认证路径，并履行PIPL第39条单独同意。GBA指引与出境制度在数量豁免上暂按并存处理。,,,,,
GBAMC-DRAFT-0251,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计57042人，未达10万一般个人信息门槛，但敏感个人信息超1万人，触发安全评估义务；GBA标准合同数量豁免存在争议，暂按并存处理。同时须履行PIPL第39条告知单独同意、GBA备案及香港PDPO义务。,,,,,
GBAMC-DRAFT-0324,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息，累计47799人。内地出境路径、GBA标准合同、人类遗传资源备案并行适用；GBA数量豁免与网信门槛存在待统一分歧，按并存处理。,,,,,
GBAMC-DRAFT-0357,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含诊断、检验、用药及不良事件报告，属敏感个人信息出境。累计32856人，未达10万一般个人信息豁免，且敏感信息超1万人，应走安全评估或GBA标准合同路径。主要冲突为GBA禁转条款与全球药物警戒报告义务、GBA数量豁免与出境新规衔接分歧。,,,,,
GBAMC-DRAFT-0262,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；基因测序数据；用药记录,CN->HK,pharmacovigilance,该操作系内地向香港提供药物警戒数据，含基因测序等人类遗传资源信息及敏感个人信息，累计出境40189人。内地出境路径、GBA标准合同、人类遗传资源备案与香港PDPO并行适用；核心冲突在于GBA禁转条款与全球药物警戒再报告义务、以及GBA数量豁免与出境门槛衔接分歧。,,,,,
