pair_id,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P001,无冲突,上位法与实施指引的具体化,并存-法律优先,lex_superior,N6；指引第4条不得低于PIPL第39条单独同意标准
P002,无冲突,跨法域义务累积,并存,none,N1
P003,无冲突,同一路径的区域化实施,并存,lex_specialis,N8；GBA标准合同即第8条标准合同路径的区域实施，分歧只发生在与第7条门槛之间（见P004）
P004,稳定冲突,区域豁免与强制评估门槛的衔接冲突,待定,none,N8；N11；全表唯一真冲突，须出书面口径，暂按同时准备备案与评估材料的保守方案
P015,无冲突,推荐性技术文件与法定保安义务,并存,none,N2；N1
P017,无冲突,同一路径的程序步骤（订立合同＋备案）,并存,lex_specialis,N6
P018,无冲突,跨法域义务累积,并存,none,N1
P019,无冲突,跨法域义务累积,并存,none,N1；澳门第20条明确同意为转移例外，不能替代内地单独同意
P020,无冲突,推荐性技术文件与法定保安义务,并存,none,N2；N1
P022,无冲突,人类遗传资源制度独立并行,并存,lex_specialis,N10；标准合同不豁免备案备份
P026,无冲突,法律路径与其区域化实施,并存,lex_specialis,N6
P028,无冲突,推荐性技术文件与法定保安义务,并存,none,N2；N1
P030,无冲突,推荐性指南与法定保安义务,并存,none,N2；N1
P034,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一为"无冲突"，不得用团标分级触发国家审批
P037,无冲突,跨法域安全义务累积,并存,none,N1；N6
P045,无冲突,跨法域程序性义务并行,并存,none,N1；N6
P048,无冲突,跨法域义务累积,并存,none,N1；N11（第40条以CIIO身份或达量为要件）
P049,无冲突,跨法域义务累积,并存,none,N1
P050,无冲突,跨法域义务累积,并存,none,N1
P051,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一
P056,无冲突,人类遗传资源制度独立并行,并存,lex_specialis,N10
P058,无冲突,跨法域程序性义务并行,并存,none,N1；N6
P059,无冲突,跨法域义务累积,并存,none,N1
P062,无冲突,推荐性技术文件与法定保安义务,并存,none,N2；N1
P065,无冲突,上位法与门槛具体化,并存,lex_specialis,N6；AI依据混用lex_superior应统一为lex_specialis
P066,无冲突,跨法域义务累积,并存,none,N1
P067,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2
P068,无冲突,跨法域义务累积,并存,none,N1
P069,无冲突,跨法域义务累积,并存,none,N1
P071,无冲突,同法内条文分工,并存,none,N4
P074,场景依赖,区域路径与法定境内存储及评估义务,右压制左(条件触发),lex_superior,N8；N11；处理者为CIIO或达量时PIPL第40条优先，指引不豁免
P075,无冲突,同一法域内程序义务并行,并存,lex_specialis,N6
P077,无冲突,规制对象不同（遗传资源监管与个人信息数量豁免）,并存,lex_specialis,N10；N5
P079,无冲突,同法内条文分工,并存,none,N4
P080,无冲突,推荐性指南与法定使用限制,并存,none,N2；N1
P082,无冲突,跨法域程序与安全义务并行,并存,none,N1；N6
P083,无冲突,跨法域义务累积,并存,none,N1
P084,场景依赖,路径互斥（备案与评估申报）,右压制左(条件触发),lex_specialis,N5；N8；承接P004口径，达评估门槛时不得以备案替代
P085,无冲突,跨法域义务累积,并存,none,N1
P088,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一
P091,无冲突,跨法域义务累积,并存,none,N1
P092,无冲突,推荐性指南与法定收集目的原则,并存,none,N2；N1
P093,无冲突,推荐性指南与法定保安义务,并存,none,N2；N1
P094,无冲突,跨法域同意机制并行,并存,none,N1
P095,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2
P096,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一
P102,无冲突,构成要件关系（敏感信息识别）,并存,none,N9；N2；指南仅作识别参考，不创设义务
P109,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一
P112,无冲突,构成要件关系（敏感信息识别）,不竞合(要件互斥),none,N9；N5；应表述为"含敏感信息故第5条豁免不适用"，不得记为"排除右/排除左"；AI裁决不一致须归一
P113,无冲突,构成要件关系（敏感信息识别）,并存,none,N9；N2
P114,无冲突,跨法域义务累积,并存,none,N1
P119,无冲突,跨法域义务累积,并存,none,N1
P120,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2
P124,无冲突,两份推荐性文件分类口径并行,并存,none,N2；均无强制力，仅供分级参考
P126,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2；AI裁决不一致须归一
P127,无冲突,人类遗传资源制度独立并行,并存,lex_specialis,N10
P128,无冲突,跨法域义务累积,并存,none,N1
P129,无冲突,跨法域义务累积,并存,none,N1
P130,无冲突,跨法域义务累积,并存,none,N1；N11
P131,无冲突,跨法域义务累积,并存,none,N1；N11
P136,无冲突,推荐性指南与法定告知义务,并存,none,N2；N1
P137,无冲突,跨法域义务累积,并存,none,N1
P138,无冲突,不同义务类型并行（告知同意与评估申报）,并存,none,N6；gba_quantitative_exemption_disputed标记误挂，本对不涉数量门槛
P139,无冲突,程序性义务并行（PIA与评估申报）,并存,none,N6；标记误挂
P142,无冲突,构成要件关系（敏感信息识别）,并存,none,N9；N2
P143,无冲突,同一法域内义务并行,并存,none,N6；标记误挂
P144,无冲突,双轨备案并行,并存,lex_specialis,N10；N6；分别向科技行政部门与网信/个资局备案
P145,无冲突,推荐性技术文件与澳门法定转移许可,并存,none,N2；N1；MO->CN方向下第19条为澳门侧出境义务
P147,无冲突,效力位阶不对等（团标非法源）,并存-法律优先,none,N2
P149,无冲突,推荐性技术文件与澳门转移例外,并存,none,N2；N1
