query_id,场景,数据属性,源法域,目标法域,操作类型,记录数,时间,风险得分(0-1，可两位小数),风险等级(低/中/高),标注把握度(高/中/低),备注
GBAMC-DRAFT-0343,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,32835,2024-11-29,,,,
GBAMC-DRAFT-0317,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,5891,2024-02-21,,,,
GBAMC-DRAFT-0286,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,41585,2024-02-26,,,,
GBAMC-DRAFT-0241,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,12372,2024-04-03,,,,
GBAMC-DRAFT-0297,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,20295,2024-01-30,,,,
GBAMC-DRAFT-0354,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,38485,2024-11-16,,,,
GBAMC-DRAFT-0251,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,46795,2025-01-28,,,,
GBAMC-DRAFT-0324,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,44771,2024-11-15,,,,
GBAMC-DRAFT-0262,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；基因测序数据；用药记录,CN,HK,pharmacovigilance,18975,2024-12-05,,,,
GBAMC-DRAFT-0304,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,17313,2024-11-27,,,,
GBAMC-DRAFT-0344,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；基因测序数据；用药记录,CN,HK,pharmacovigilance,49970,2024-04-30,,,,
GBAMC-DRAFT-0292,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,44580,2024-11-26,,,,
GBAMC-DRAFT-0281,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,7624,2024-11-21,,,,
GBAMC-DRAFT-0302,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,46285,2024-10-17,,,,
GBAMC-DRAFT-0272,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,1415,2024-08-13,,,,
GBAMC-DRAFT-0257,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,8192,2024-12-04,,,,
GBAMC-DRAFT-0312,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,36174,2024-10-06,,,,
GBAMC-DRAFT-0337,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,6340,2024-07-07,,,,
GBAMC-DRAFT-0274,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,5171,2024-06-03,,,,
GBAMC-DRAFT-0336,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,32177,2024-02-07,,,,
GBAMC-DRAFT-0350,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,47224,2025-02-03,,,,
GBAMC-DRAFT-0353,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,15988,2024-04-08,,,,
GBAMC-DRAFT-0295,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,18667,2024-12-07,,,,
GBAMC-DRAFT-0288,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,31858,2024-01-15,,,,
GBAMC-DRAFT-0255,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,2735,2024-05-10,,,,
GBAMC-DRAFT-0315,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,14645,2024-09-03,,,,
GBAMC-DRAFT-0308,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,36648,2025-01-26,,,,
GBAMC-DRAFT-0323,cn_to_hk_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN,HK,pharmacovigilance,19787,2024-07-23,,,,
GBAMC-DRAFT-0702,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,39343,2024-12-13,,,,
GBAMC-DRAFT-0664,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,39289,2024-12-25,,,,
GBAMC-DRAFT-0662,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,41634,2025-01-20,,,,
GBAMC-DRAFT-0687,cn_to_mo_pharmacovigilance,孕产记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录,CN,MO,pharmacovigilance,14068,2024-04-27,,,,
GBAMC-DRAFT-0679,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,21165,2024-03-11,,,,
GBAMC-DRAFT-0670,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,18661,2024-04-12,,,,
GBAMC-DRAFT-0693,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,17470,2024-11-30,,,,
GBAMC-DRAFT-0692,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,22774,2024-05-18,,,,
GBAMC-DRAFT-0677,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,38001,2024-05-26,,,,
GBAMC-DRAFT-0640,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,40003,2024-10-02,,,,
GBAMC-DRAFT-0658,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,12517,2024-10-28,,,,
GBAMC-DRAFT-0607,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,48108,2024-01-22,,,,
GBAMC-DRAFT-0653,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,15805,2024-04-10,,,,
GBAMC-DRAFT-0696,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,40884,2024-05-06,,,,
GBAMC-DRAFT-0680,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；孕产记录；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,39146,2024-12-20,,,,
GBAMC-DRAFT-0719,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,28637,2024-07-20,,,,
GBAMC-DRAFT-0697,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,4448,2024-08-02,,,,
GBAMC-DRAFT-0620,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,37217,2024-01-29,,,,
GBAMC-DRAFT-0707,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,31289,2024-04-28,,,,
GBAMC-DRAFT-0617,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；基因测序数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,29855,2024-10-22,,,,
GBAMC-DRAFT-0674,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,20375,2024-12-04,,,,
GBAMC-DRAFT-0648,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,22016,2024-12-26,,,,
GBAMC-DRAFT-0603,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,10795,2024-04-16,,,,
GBAMC-DRAFT-0635,cn_to_mo_pharmacovigilance,孕产记录；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,31641,2024-01-26,,,,
GBAMC-DRAFT-0685,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,28494,2024-03-01,,,,
GBAMC-DRAFT-0682,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,10627,2025-01-20,,,,
GBAMC-DRAFT-0708,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,6771,2025-01-02,,,,
GBAMC-DRAFT-0671,cn_to_mo_pharmacovigilance,诊断记录（ICD-10）；检验检查数据；用药记录；不良事件报告,CN,MO,pharmacovigilance,21695,2024-12-08,,,,
GBAMC-DRAFT-0750,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,18245,2024-01-28,,,,
GBAMC-DRAFT-0816,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,6042,2024-02-25,,,,
GBAMC-DRAFT-0792,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,7300,2024-09-24,,,,
GBAMC-DRAFT-0742,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,13043,2024-08-04,,,,
GBAMC-DRAFT-0743,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,1850,2024-04-21,,,,
GBAMC-DRAFT-0722,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,9196,2024-06-17,,,,
GBAMC-DRAFT-0818,cn_to_mo_telemedicine,孕产记录；诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,509,2024-09-17,,,,
GBAMC-DRAFT-0798,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,16747,2024-06-04,,,,
GBAMC-DRAFT-0764,cn_to_mo_telemedicine,孕产记录；诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,1540,2024-04-28,,,,
GBAMC-DRAFT-0728,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,16242,2024-09-16,,,,
GBAMC-DRAFT-0791,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,9064,2024-05-20,,,,
GBAMC-DRAFT-0747,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,11355,2024-08-23,,,,
GBAMC-DRAFT-0804,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,4000,2024-12-19,,,,
GBAMC-DRAFT-0781,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,18361,2024-05-10,,,,
GBAMC-DRAFT-0835,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,2467,2024-06-28,,,,
GBAMC-DRAFT-0829,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,17813,2024-03-11,,,,
GBAMC-DRAFT-0827,cn_to_mo_telemedicine,检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,17092,2024-11-16,,,,
GBAMC-DRAFT-0789,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,17179,2024-02-24,,,,
GBAMC-DRAFT-0823,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,7590,2024-03-07,,,,
GBAMC-DRAFT-0807,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,1729,2024-02-27,,,,
GBAMC-DRAFT-0780,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,2238,2024-08-09,,,,
GBAMC-DRAFT-0821,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,9189,2024-08-12,,,,
GBAMC-DRAFT-0805,cn_to_mo_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,3689,2024-07-11,,,,
GBAMC-DRAFT-0825,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,14302,2024-03-11,,,,
GBAMC-DRAFT-0733,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,18918,2024-02-14,,,,
GBAMC-DRAFT-0820,cn_to_mo_telemedicine,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,13641,2024-04-26,,,,
GBAMC-DRAFT-0766,cn_to_mo_telemedicine,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据,CN,MO,telemedicine,19085,2024-10-02,,,,
GBAMC-DRAFT-0793,cn_to_mo_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,CN,MO,telemedicine,3602,2024-05-15,,,,
GBAMC-DRAFT-0568,gba_storage_backup,检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,244571,2024-12-06,,,,
GBAMC-DRAFT-0512,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,265566,2024-01-09,,,,
GBAMC-DRAFT-0508,gba_storage_backup,检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,461665,2024-09-13,,,,
GBAMC-DRAFT-0500,gba_storage_backup,诊断记录（ICD-10）；孕产记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,326046,2024-09-14,,,,
GBAMC-DRAFT-0590,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,162152,2024-08-27,,,,
GBAMC-DRAFT-0540,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,438414,2025-01-09,,,,
GBAMC-DRAFT-0582,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,192796,2024-09-02,,,,
GBAMC-DRAFT-0547,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,233780,2024-10-04,,,,
GBAMC-DRAFT-0599,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,147929,2024-05-19,,,,
GBAMC-DRAFT-0564,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,412613,2024-12-10,,,,
GBAMC-DRAFT-0555,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；基因测序数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,231574,2024-05-17,,,,
GBAMC-DRAFT-0522,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,443337,2024-02-19,,,,
GBAMC-DRAFT-0526,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,220848,2024-04-13,,,,
GBAMC-DRAFT-0511,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,251639,2024-07-08,,,,
GBAMC-DRAFT-0570,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,308169,2024-05-12,,,,
GBAMC-DRAFT-0543,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,426118,2025-01-12,,,,
GBAMC-DRAFT-0521,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,420366,2024-05-26,,,,
GBAMC-DRAFT-0549,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,21758,2024-04-30,,,,
GBAMC-DRAFT-0488,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,447900,2024-02-25,,,,
GBAMC-DRAFT-0533,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,405224,2024-10-10,,,,
GBAMC-DRAFT-0491,gba_storage_backup,诊断记录（ICD-10）；孕产记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,370227,2024-05-17,,,,
GBAMC-DRAFT-0583,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,443721,2024-10-01,,,,
GBAMC-DRAFT-0586,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,320870,2024-11-13,,,,
GBAMC-DRAFT-0544,gba_storage_backup,诊断记录（ICD-10）；孕产记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,290207,2024-06-15,,,,
GBAMC-DRAFT-0502,gba_storage_backup,诊断记录（ICD-10）；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,397572,2025-01-27,,,,
GBAMC-DRAFT-0532,gba_storage_backup,诊断记录（ICD-10）；肿瘤诊断记录；检验检查数据；可穿戴健康数据；生命体征监测数据,HK,CN,storage_backup,367077,2024-11-23,,,,
GBAMC-DRAFT-0482,gba_storage_backup,孕产记录；检验检查数据；可穿戴健康数据；生命体征监测数据；住院病历,HK,CN,storage_backup,498094,2024-08-07,,,,
GBAMC-DRAFT-0591,gba_storage_backup,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；基因测序数据；可穿戴健康数据,HK,CN,storage_backup,193583,2024-01-09,,,,
GBAMC-DRAFT-0460,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,2135,2024-07-25,,,,
GBAMC-DRAFT-0402,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,5945,2024-09-08,,,,
GBAMC-DRAFT-0434,gba_telemedicine,诊断记录（ICD-10）；内分泌疾病记录；检验检查数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,14000,2024-09-26,,,,
GBAMC-DRAFT-0456,gba_telemedicine,内分泌疾病记录；诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历,MO,CN,telemedicine,18703,2024-01-25,,,,
GBAMC-DRAFT-0443,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；基因测序数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,15860,2024-01-27,,,,
GBAMC-DRAFT-0420,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,17059,2024-09-01,,,,
GBAMC-DRAFT-0454,gba_telemedicine,诊断记录（ICD-10）；孕产记录；检验检查数据；门诊病历；生命体征监测数据,MO,CN,telemedicine,15386,2024-12-23,,,,
GBAMC-DRAFT-0431,gba_telemedicine,诊断记录（ICD-10）；检验检查数据；门诊病历；生命体征监测数据；影像报告,MO,CN,telemedicine,1706,2024-10-23,,,,
