pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据,专家备注,专家法理依据(lex_specialis/lex_superior/contextual/none)
P001,CN_GBA_MO_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,229,CN->MO:229,并存（按孰严执行）:229,并行义务:229,contextual:170; none:38; lex_specialis:16; lex_superior:5,GBAMC-DRAFT-0600,PIPL第39条要求告知并取得单独同意；GBA指引第4条要求按属地法律告知或取得同意。两者均为出境前义务，并行不悖，按孰严执行。,,,,,,
P002,CN_PIPL_Art38_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,203,CN->MO:203,并存（按孰严执行）:203,并行义务:203,contextual:178; none:25,GBAMC-DRAFT-0600,内地法要求出境具备安全评估、认证或标准合同等条件；澳门法要求接收地具备适当保护程度。分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,,
P003,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:192,192,CN->MO:192,待定（口径未明）:192,一般与例外:142; 并行义务:50,lex_specialis:144; contextual:48,GBAMC-DRAFT-0600,GBA指引允许注册于九市或澳门的处理者经标准合同跨境提供个人信息，港方材料称豁免《标准合同办法》第4条数量限制；《促进和规范数据跨境流动规定》晚出且未明文衔接，业内对敏感个人信息超1万人能否仍走GBA标准合同存在分歧。按并存处理，两条义务并行，不判定一方压制另一方。,,,,,,
P004,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:140,140,CN->MO:140,待定（口径未明）:140,一般与例外:127; 并行义务:12; 强制与可选:1,lex_specialis:118; contextual:20; lex_posterior:2,GBAMC-DRAFT-0601,GBA指引允许敏感信息超1万人仍用标准合同，出境规定第7条要求1万人以上敏感信息申报安全评估。两口径并存，须同时满足备案与评估要求，按孰严执行。,,,,,,
P015,CN_GDHMD_008,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,50,HK->CN:50,并存（按孰严执行）:50,并行义务:50,contextual:49; none:1,GBAMC-DRAFT-0000,香港保安原则要求采取切实可行措施保障数据；内地团体标准建议检验影像假名化水印。两者均为保护性义务，可同时满足。,,,,,,
P017,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:47,47,CN->MO:47,待定（口径未明）:47,并行义务:47,contextual:35; none:12,GBAMC-DRAFT-0601,GBA指引要求10个工作日内向粤网信办或澳门个资局备案，出境规定第8条要求订立标准合同或认证。备案与合同/认证并行，须同时完成。,,,,,,
P018,CN_PIPL_Art38_001,HK_PDPO_DPP4_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,46,CN->HK:46,并存（按孰严执行）:46,并行义务:46,contextual:43; none:3,GBAMC-DRAFT-0241,内地要求出境具备安全评估、认证或标准合同条件，香港要求采取保安措施。分属不同法域，义务并行，按孰严执行。,,,,,,
P019,CN_PIPL_Art39_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,45,CN->MO:45,并存（按孰严执行）:45,并行义务:45,contextual:32; none:13,GBAMC-DRAFT-0601,内地要求单独同意，澳门允许当事人明确同意作为转移例外。两者均为同意机制，并行适用，按孰严执行。,,,,,,
P020,CN_GDHMD_023,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,41,HK->CN:41,并存（按孰严执行）:41,并行义务:41,contextual:41,GBAMC-DRAFT-0481,香港PDPO保安原则要求采取切实可行措施保障资料；广东团体标准建议跨境远程监护用DTLS 1.3加密。两者均为安全义务，并行不悖，按孰严执行。,,,,,,
P022,CN_GBA_MO_GUIDE_Art2,CN_HGR_Art28_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,37,CN->MO:37,并存（按孰严执行）:37,并行义务:37,lex_specialis:26; contextual:8; none:3,GBAMC-DRAFT-0614,基因测序数据属人类遗传资源信息，向澳门提供须依《人类遗传资源管理条例》第28条备案备份；GBA标准合同不豁免该义务，二者并行。,,,,,,
P026,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,32,CN->MO:32,并存（按孰严执行）:32,并行义务:28; 一般与例外:4,lex_specialis:28; contextual:4,GBAMC-DRAFT-0614,PIPL第38条列举出境合法路径，GBA标准合同属其中标准合同路径的区域安排。两者并行，不排斥，应同时满足。,,,,,,
P028,CN_GDHMD_001,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,30,HK->CN:30,并存（按孰严执行）:30,并行义务:30,contextual:30,GBAMC-DRAFT-0004,香港PDPO保安原则要求采取切实可行措施保障资料；广东团标要求基因数据匿名化处理。两者均为保安义务，并行不悖，按孰严执行。,,,,,,
P030,CN_SPI_001,HK_PDPO_DPP4_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,28,HK->CN:28,并存（按孰严执行）:28,并行义务:28,contextual:28,GBAMC-DRAFT-0482,香港PDPO保安原则要求保障资料免受未获准许查阅，内地指南将住院病历列为敏感个人信息；两者分属不同法域，义务并存，按孰严执行，不构成冲突。,,,,,,
P034,CN_GDHMD_001,CN_HGR_Art28_001,广东省健康医疗数据安全分类分级管理技术规范,人类遗传资源管理条例,团体标准（推荐性技术文件）,行政法规,AI裁决不一致,normalized_basis_to_none:16,23,CN->MO:23,并存（按孰严执行）:11; 排除左:11; 无冲突:1,并行义务:12; 强制与可选:10; 一般与例外:1,none:23,GBAMC-DRAFT-0605,团体标准非法规，不得以“4级数据需国家审批”压制行政法规。基因数据出境应并行适用人类遗传资源备案备份及安全审查义务。,,,,,,
P037,CN_GBA_HK_GUIDE_Art5,HK_PDPO_DPP4_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,香港《个人资料（私隐）条例》,规范性文件（实施指引）,香港主体条例,跨法域; GBA指引相关,,21,CN->HK:21,并存（按孰严执行）:21,并行义务:21,contextual:18; none:3,GBAMC-DRAFT-0240,香港PDPO第4原则要求采取保安措施；GBA指引第5条要求开展影响评估。两者均为安全义务，内容互补，应累积履行。,,,,,,
P045,CN_GBA_MO_GUIDE_Art7,MO_PDPA_Art19_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,规范性文件（实施指引）,澳门法律,跨法域; GBA指引相关,,17,CN->MO:17,并存（按孰严执行）:17,并行义务:17,contextual:17,GBAMC-DRAFT-0618,GBA指引要求标准合同备案；澳门PDPA要求个案决定转移许可。两者并行，按各自程序履行。,,,,,,
P048,CN_PIPL_Art40_001,HK_PDPO_DPP4_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,15,CN->HK:15,并存（按孰严执行）:15,并行义务:15,contextual:15,GBAMC-DRAFT-0247,内地境内存储与安全评估要求，与香港保安措施原则并行，分属不同法域，义务累积。,,,,,,
P049,CN_OUTBOUND_Art7_002,MO_PDPA_Art19_002,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,14,CN->MO:14,并存（按孰严执行）:14,并行义务:14,contextual:13; none:1,GBAMC-DRAFT-0610,内地安全评估与澳门个案决定机制并行，分别由内地和澳门监管机构执行，义务并存。,,,,,,
P050,CN_OUTBOUND_Art8_001,MO_PDPA_Art19_002,促进和规范数据跨境流动规定,澳门《个人资料保护法》,部门规章,澳门法律,跨法域,,14,CN->MO:14,并存（按孰严执行）:14,并行义务:14,contextual:13; none:1,GBAMC-DRAFT-0600,内地侧不满1万人敏感个人信息应订立标准合同或认证；澳门侧如目的地保护程度不足则由个人资料保护当局个案决定。两法域义务并行，需同时满足。,,,,,,
P051,CN_GDHMD_023,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_basis_to_none:8,13,CN->MO:13,并存（按孰严执行）:7; 排除左:6,强制与可选:8; 并行义务:5,none:12; contextual:1,GBAMC-DRAFT-0727,团体标准CN_GDHMD_023为推荐性技术文件，非法规，不得以数据分级触发国家审批或替代法律、部门规章。其加密传输要求可作为技术参考，但法律义务以PIPL及《促进和规范数据跨境流动规定》为准。,,,,,,
