pair_id,左规则ID,左规则文本,右规则ID,右规则文本,出现查询数,涉及方向,冲突判定(无冲突/场景依赖/稳定冲突),处置结论(并存/待定/左压制右/右压制左),法理依据(lex_specialis/lex_superior/lex_posterior/contextual/none),备注
G001,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,MO_PDPA_Art20_001,转移的排除适用（例外）：当资料当事人明确同意转移，或转移符合法定情形（如为履行合同、保障资料当事人重大利益、司法程序等）时，经对公共当局作出通知后，可向未能确保适当保护程度的地方转移。,119,MO->CN:119,,,,
G002,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,CN_OUTBOUND_Art8_001,关键信息基础设施运营者以外的数据处理者自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息的，应当依法与境外接收方订立个人信息出境标准合同或者通过个人信息保护认证。,102,CN->HK:102,,,,
G003,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,MO_PDPA_Art19_001,个人资料转移至澳门特区以外（原则）：仅在遵守本法律规定，且接收转移资料当地的法律体系能确保适当保护程度的情况下，方可进行转移。,71,MO->CN:71,,,,
G004,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,CN_OUTBOUND_Art7_002,关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,69,CN->HK:69,,,,
G005,CN_GBA_HK_GUIDE_Art4,按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》订立标准合同跨境提供个人信息的，个人信息处理者跨境提供前应当按属地法律要求告知个人信息主体或者取得同意，且不得向粤港澳大湾区以外的组织、个人提供。,CN_PIPL_Art39_001,个人信息处理者向境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,67,CN->HK:67,,,,
G006,CN_PIPL_Art39_001,个人信息处理者向境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,HK_PDPO_DPP1_003,保障资料第1原则（告知）：资料使用者收集个人资料时，须采取一切切实可行的步骤，告知资料当事人其资料是否会被用作直接促销（如适用）、该资料将会用于何种目的、资料可能移转予哪类人士等事项。,62,CN->HK:62,,,,
G007,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,HK_PDPO_DPP1_002,保障资料第1原则（收集目的及方式）：个人资料不得为以下目的收集——(a)并非直接与将会使用该资料的资料使用者所执行的职能或活动有关的合法目的；或(b)就有关目的而言属超乎适度。收集该资料的方式须合法及公平。,45,HK->CN:45,,,,
G008,CN_SPI_001,医疗健康信息（如住院病历）被定义为敏感个人信息，泄露或非法使用易危害人身权益。,HK_PDPO_DPP3_001,保障资料第3原则（使用限制）：除非获得资料当事人订明的同意，否则个人资料不得用于下列用途以外的任何用途——(a)在收集该资料时拟使用的目的；或(b)与上述目的直接有关的用途。,45,HK->CN:45,,,,
G009,CN_GBA_HK_GUIDE_Art2,粤港澳大湾区（内地、香港）个人信息处理者及接收方可以按照《粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引》要求，通过订立标准合同的方式进行粤港澳大湾区内内地和香港之间的个人信息跨境流动；被相关部门、地区告知或者公开发布为重要数据的个人信息除外。处理者及接收方应注册于（适用于组织）或位于（适用于个人）大湾区内地九市（广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆）或香港特别行政区。,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,43,CN->HK:43,,,,
G010,CN_PIPL_Art38_001,个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一：（一）依照本法第四十条的规定通过国家网信部门组织的安全评估；（二）按照国家网信部门的规定经专业机构进行个人信息保护认证；（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务；（四）法律、行政法规或者国家网信部门规定的其他条件。,HK_PDPO_S33_NOTE,背景规则（供冲突分析使用）：《个人资料（私隐）条例》第33条就“禁止在指明情况以外将个人资料移转至香港以外地方”作出规定，但该条至今尚未生效（政府公报多次确认）；跨境移转仍受条例其他条文（如保障资料原则）规管，公署亦以指引建议资料使用者采取合约保障等措施。,41,CN->HK:41,,,,
