pair_id,left_rule_id,right_rule_id,出现查询数,方向分布,校验标记,专家裁决,专家冲突类型,专家压制方向,专家法理依据,专家备注
P001,MO_PDPA_Art19_001,MO_PDPA_Art20_001,119,MO->CN:119,,无冲突,同法内一般与例外,并存,lex_specialis,N4
P002,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art8_001,102,CN->HK:102,gba_quantitative_exemption_disputed:102; threshold_statement_contradiction:7,场景依赖,路径竞合,并存,lex_specialis,N8；GBA标准合同属第8条标准合同路径的区域化实施；若被告知或公布为重要数据则GBA不适用
P003,CN_PIPL_Art28_001,MO_PDPA_Art19_001,71,MO->CN:71,,无冲突,跨法域义务累积,并存,none,N1
P004,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art7_002,69,CN->HK:69,gba_quantitative_exemption_disputed:69,稳定冲突,强制安全评估与区域豁免的制度衔接冲突,并存（暂按累积）,none,N8；本表唯一真冲突，须出书面口径
P005,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art39_001,67,CN->HK:67,,无冲突,援引性条款,并存,none,GBA第4条援引属地法，指向PIPL第39条，非独立冲突源
P006,CN_PIPL_Art39_001,HK_PDPO_DPP1_003,62,CN->HK:62,,无冲突,跨法域义务累积,并存,none,N1
P007,CN_PIPL_Art28_001,HK_PDPO_DPP1_002,45,HK->CN:45,,无冲突,跨法域义务累积,并存,none,N1
P008,CN_PIPL_Art28_001,HK_PDPO_DPP3_001,45,HK->CN:45,,无冲突,跨法域义务累积,并存,none,N1
P009,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art38_001,43,CN->HK:43,,无冲突,一般路径与区域实施,并存,lex_specialis,GBA机制系PIPL第38条第(三)项在大湾区的具体化
P010,CN_PIPL_Art38_001,HK_PDPO_S33_NOTE,41,CN->HK:41,,无冲突,未生效条文,并存,none,N3；N1
P011,CN_PIPL_Art28_001,MO_PDPA_Art20_001,40,MO->CN:40,,无冲突,跨法域义务累积,并存,none,N1
P012,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art8_001,39,CN->HK:39,,场景依赖,适用条件互斥,依事实定,lex_specialis,N5；含敏感个人信息时第5条自始不适用
P013,CN_GDHMD_001,HK_PDPO_DPP1_002,33,HK->CN:33,normalized_weak_norm_cross_jurisdiction:2,无冲突,效力位阶不对等,并存,none,N2；N1
P014,CN_GDHMD_001,CN_PIPL_Art28_001,32,MO->CN:32,,无冲突,效力位阶不对等,并存,none,N2；AI标注lex_superior不当
P015,CN_GDHMD_008,MO_PDPA_Art19_001,32,MO->CN:32,normalized_weak_norm_cross_jurisdiction:1,无冲突,效力位阶不对等,并存,none,N2；N1
P016,CN_PIPL_Art28_001,MO_PDPA_Art19_002,30,MO->CN:30,,无冲突,跨法域义务累积,并存,none,N1
P017,CN_PIPL_Art38_001,HK_PDPO_DPP3_001,30,CN->HK:30,,无冲突,跨法域义务累积,并存,none,N1
P018,CN_GDHMD_001,HK_PDPO_DPP3_001,27,HK->CN:27,,无冲突,效力位阶不对等,并存,none,N2；N1
P019,CN_GDHMD_008,CN_PIPL_Art38_001,25,CN->HK:25,,无冲突,效力位阶不对等,并存,none,N2
P020,HK_PDPO_DPP1_002,HK_PDPO_DPP3_001,25,HK->CN:21; CN->HK:4,,无冲突,同法内条文分工,并存,none,N4
P021,CN_GDHMD_001,MO_PDPA_Art19_001,24,MO->CN:24,normalized_weak_norm_cross_jurisdiction:1,无冲突,效力位阶不对等,并存,none,N2；N1
P022,CN_PIPL_028,HK_PDPO_DPP3_001,24,HK->CN:24,,无冲突,跨法域义务累积,并存,none,N1；N7
P023,CN_GBA_HK_GUIDE_Art2,CN_HGR_Art28_001,22,CN->HK:22,,无冲突,程序并行,并存,none,N10
P024,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art40_001,21,CN->HK:21,gba_quantitative_exemption_disputed:21,场景依赖,法定强制与区域便利,若属CIIO或达量则右压制左,lex_superior,N8；须先认定主体是否CIIO
