pair_id,left_rule_id,right_rule_id,left_law,right_law,机器标记,优先级,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P001,CN_GBA_MO_GUIDE_Art2,CN_GDHMD_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关; AI裁决不一致; 高频,高,158,CN->MO:81; MO->CN:77,right_suppresses_left:87; left_suppresses_right:64; exclude_left:7,一般与例外:68; 许可与禁止:51; 禁止与许可:35; 义务与许可:4,lex_specialis:143; lex_superior:11; contextual:4,GBAMC-DRAFT-0124-FLIP-CN-MO,基因数据属4级，GBA指引明确排除重要数据，且该规范要求国家审批，属强制性禁止，GBA不能豁免。,,,,,
P002,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关; AI裁决不一致; 高频,高,129,CN->MO:100; MO->CN:29,left_suppresses_right:65; right_suppresses_left:62; exclude_left:2,一般与例外:64; 强制与可选:30; 义务与许可:21; 许可与禁止:11; 一般与特别:1; 一般与例外（重要数据排除）:1; 义务与许可（强制安全评估 vs 可选标准合同）:1,lex_specialis:124; lex_superior:3; contextual:2,GBAMC-DRAFT-0120-FLIP-CN-MO,GBA指引作为特别机制，在满足标准合同条件下可豁免安全评估，但需注意敏感信息量可能仍触发评估要求，需个案判断。,,,,,
P003,CN_GBA_MO_GUIDE_Art2,MO_PDPA_Art19_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,澳门《个人资料保护法》,跨法域; GBA指引相关; AI裁决不一致; 高频,高,97,MO->CN:51; CN->MO:46,left_suppresses_right:58; right_suppresses_left:37; exclude_right:1; exclude_left:1,一般与例外:66; 义务与许可:21; 许可与禁止:8; 许可与义务:1; 许可与一般原则:1,contextual:51; lex_specialis:46,GBAMC-DRAFT-0120-FLIP-CN-MO,澳门法要求接收地有适当保护，内地法律体系符合此标准，GBA指引不构成对澳门法的例外，澳门法仍适用。,,,,,
P004,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,跨法域; GBA指引相关; AI裁决不一致; 高频,高,96,HK->CN:69; CN->HK:27,left_suppresses_right:52; right_suppresses_left:43; exclude_left:1,一般与例外:60; 强制与可选:14; 许可与禁止:13; 义务与许可:7; 许可与强制:1; 一般与例外（GBA便利机制与安全评估门槛）:1,lex_specialis:83; lex_superior:12; contextual:1,GBAMC-DRAFT-0243,GBA标准合同实施指引是针对粤港澳大湾区个人信息跨境流动的特别规定，属于一般出境安全评估的例外机制。操作符合GBA适用条件（注册于大湾区内地九市且向香港提供），应优先适用GBA指引。,,,,,
P005,CN_GBA_HK_GUIDE_Art2,CN_GDHMD_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,广东省健康医疗数据安全分类分级管理技术规范,跨法域; GBA指引相关; AI裁决不一致; 高频,高,88,HK->CN:70; CN->HK:18,right_suppresses_left:49; left_suppresses_right:39,一般与例外:33; 禁止与许可:25; 许可与禁止:22; 义务与许可:5; 禁止与许可（基因数据跨境限制）:2; 一般与例外（重要数据排除）:1,lex_specialis:83; contextual:3; lex_superior:2,GBAMC-DRAFT-0245,GBA指引明确排除重要数据，基因测序数据依广东规范属4级重要数据，需国家审批，故GBA标准合同机制不适用。,,,,,
P006,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致; 高频,高,77,CN->MO:50; MO->CN:27,right_suppresses_left:64; left_suppresses_right:13,一般与例外:70; 一般与特别:3; 特别与一般:2; 义务与许可:1; 一般与例外（便利机制与一般法）:1,lex_specialis:77,GBAMC-DRAFT-0120-FLIP-CN-MO,GBA标准合同指引是针对粤港澳大湾区的特别规定，允许通过标准合同替代一般出境安全评估，属于特别法优于一般法。,,,,,
P007,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art38_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,跨法域; GBA指引相关; AI裁决不一致; 高频,高,65,HK->CN:53; CN->HK:12,left_suppresses_right:35; right_suppresses_left:30,一般与例外:52; 许可与义务:2; 许可与禁止:2; 特别与一般:2; 特别法与一般法:2; 一般与特别:2; 强制与可选:1; 一般与特殊:1; 特别法与一般法（适用路径选择）:1,lex_specialis:62; lex_superior:3,GBAMC-DRAFT-0246,GBA标准合同机制是粤港澳大湾区内的特别便利安排，属于Art38所列'其他条件'的细化，在符合GBA指引条件下可优先适用，但需排除重要数据。,,,,,
P008,MO_PDPA_Art19_001,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,同法内关系; AI裁决不一致; 高频,高,61,CN->MO:55; MO->CN:6,right_suppresses_left:55; left_suppresses_right:5; exclude_right:1,一般与例外:45; 原则与例外:16,lex_specialis:51; contextual:10,GBAMC-DRAFT-0121-FLIP-CN-MO,澳门PDPA第19条规定转移需接收地有适当保护，但第20条提供例外（如当事人明确同意）。本操作涉及临床试验，若取得患者明确同意，可适用第20条例外，无需再评估内地保护水平。,,,,,
P009,CN_OUTBOUND_Art5_004,CN_PIPL_Art40_001,促进和规范数据跨境流动规定,个人信息保护法,AI裁决不一致; 高频,高,57,MO->CN:19; HK->CN:17; CN->HK:11; CN->MO:10,left_suppresses_right:43; right_suppresses_left:13; exclude_left:1,义务与许可:24; 一般与例外:22; 强制与可选:8; 义务与豁免:1; 强制与豁免:1; 许可与禁止:1,lex_specialis:37; lex_superior:19; contextual:1,GBAMC-DRAFT-0246,Art40针对关键信息基础设施运营者或达到规定数量的处理者，强制要求安全评估，属于特别规定；Art5的豁免仅适用于非CIIO且未达数量门槛的情形，本案涉及敏感个人信息且数量可能超限，故Art40优先。,,,,,
P010,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art7_002,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,同法内关系; AI裁决不一致; 高频,高,50,MO->CN:22; HK->CN:15; CN->HK:8; CN->MO:5,right_suppresses_left:39; left_suppresses_right:9; exclude_left:2,一般与例外:22; 许可与禁止:19; 义务与许可:7; 强制与可选:1; 义务与禁止:1,lex_specialis:46; contextual:4,GBAMC-DRAFT-0256,数据含敏感个人信息（医疗健康），不适用Art5免予申报情形，应适用Art7关于敏感个人信息1万人以上需安全评估的规定。Art5仅适用于不含敏感个人信息的情形。,,,,,
